Time,RPM,Temperature,PH
11:36:37,1530,20.0,5
11:36:37,930,20.0,5
11:36:38,900,20.0,5
11:36:39,900,20.0,5
11:36:40,930,20.0,5
11:36:42,1110,20.0,5
11:36:43,990,20.0,5
11:36:44,1050,20.0,5
11:36:45,1140,20.0,5
11:36:46,1200,20.0,5
11:36:47,1230,20.0,5
11:36:48,1290,20.0,5
11:36:49,1320,20.0,5
11:36:50,1380,20.0,5
11:36:51,1440,20.0,5
11:36:52,1440,20.0,5
11:36:53,1470,20.0,5
11:36:54,1470,20.0,5
11:36:55,1470,20.0,5
11:36:56,1500,20.0,5
11:36:57,1500,20.0,5
11:36:58,1470,20.0,5
11:36:59,1500,20.0,5
11:37:0,1500,20.0,5
11:37:1,1500,20.0,5
11:37:2,1500,20.0,5
11:37:3,1500,20.0,5
11:37:4,1500,20.0,5
11:37:5,1500,20.0,5
11:37:6,1500,20.0,5
11:37:7,1500,20.0,5
11:37:8,1500,20.0,5
11:37:9,1530,20.0,5
11:37:10,1500,20.0,5
11:37:11,1470,20.0,5
11:37:12,1500,20.0,5
11:37:13,1500,20.0,5
11:37:14,1500,20.0,5
11:37:15,1500,20.0,5
11:37:16,1530,20.0,5
11:37:17,1530,20.0,5
11:37:18,1500,20.0,5
11:37:19,1530,20.0,5
11:37:20,1530,20.0,5
11:37:21,1500,20.0,5
11:37:22,1530,20.0,5
11:37:23,1500,20.0,5
11:37:24,1530,20.0,5
11:37:25,1500,20.0,5
11:37:26,1500,20.0,5
11:37:27,1500,20.0,5
11:37:28,1500,20.0,5
11:37:29,1530,20.0,5
11:37:30,1470,20.0,5
11:37:31,1500,20.0,5
11:37:32,1530,20.0,5
11:37:33,1500,20.0,5
11:37:35,1470,20.0,5
11:37:36,1500,20.0,5
11:37:37,1500,20.0,5
11:37:38,1500,20.0,5
11:37:39,1500,20.0,5
11:37:40,1500,20.0,5
11:37:41,1500,20.0,5
11:37:42,1500,20.0,5
11:37:43,1500,20.0,5
11:37:44,1500,20.0,5
11:37:45,1470,20.0,5
11:37:46,1530,20.0,5
11:37:47,1500,20.0,5
11:37:48,1500,20.0,5
11:37:49,1470,20.0,5
11:37:50,1500,20.0,5
11:37:51,1530,20.0,5
11:37:52,1530,20.0,5
11:37:53,1530,20.0,5
11:37:54,1560,20.0,5
11:37:56,3060,20.0,5
11:37:57,1470,20.0,5
11:37:58,1410,20.0,5
11:37:59,1290,20.0,5
11:38:0,1200,20.0,5
11:38:1,1080,20.0,5
11:38:2,1050,20.0,5
11:38:3,990,20.0,5
11:38:4,930,20.0,5
11:38:5,870,20.0,5
11:38:6,780,20.0,5
11:38:7,750,20.0,5
11:38:8,720,20.0,5
11:38:9,750,20.0,5
11:38:10,780,20.0,5
11:38:11,750,20.0,5
11:38:12,720,20.0,5
11:38:13,750,20.0,5
11:38:14,720,20.0,5
11:38:15,750,20.0,5
11:38:16,750,20.0,5
11:38:17,750,20.0,5
11:38:18,750,20.0,5
11:38:19,750,20.0,5
11:38:20,780,20.0,5
11:38:21,750,20.0,5
11:38:22,720,20.0,5
11:38:23,750,20.0,5
11:38:24,720,20.0,5
11:38:25,750,20.0,5
11:38:26,750,20.0,5
11:38:27,750,20.0,5
11:38:28,780,20.0,5
11:38:29,750,20.0,5
11:38:30,750,20.0,5
11:38:31,750,20.0,5
11:38:32,750,20.0,5
11:38:33,750,20.0,5
11:38:34,720,20.0,5
11:38:35,750,20.0,5
11:38:36,750,20.0,5
11:38:37,750,20.0,5
11:38:38,720,20.0,5
11:38:39,750,20.0,5
11:38:41,720,20.0,5
11:38:42,750,20.0,5
11:38:43,750,20.0,5
11:38:44,780,20.0,5
11:38:45,750,20.0,5
11:38:46,780,20.0,5
11:38:47,750,20.0,5
11:38:48,750,20.0,5
11:38:49,750,20.0,5
11:38:50,750,20.0,5
11:38:51,750,20.0,5
11:38:52,750,20.0,5
11:38:53,750,20.0,5
11:38:54,750,20.0,5
11:38:55,750,20.0,5
11:38:56,750,20.0,5
11:38:57,750,20.0,5
11:38:58,750,20.0,5
11:38:59,750,20.0,5
11:39:0,750,20.0,5
11:39:1,1110,20.0,5
11:39:2,660,20.0,5
11:39:3,540,20.0,5
11:39:4,400,20.0,5
11:39:5,400,20.0,5
11:39:6,400,20.0,5
11:39:7,510,20.0,5
11:39:8,400,20.0,5
11:39:9,540,20.0,5
11:39:10,510,20.0,5
11:39:11,540,20.0,5
11:39:12,510,20.0,5
11:39:14,540,20.0,5
11:39:15,510,20.0,5
11:39:16,540,20.0,5
11:39:17,540,20.0,5
11:39:18,510,20.0,5
11:39:19,510,20.0,5
11:39:20,400,20.0,5
11:39:21,510,20.0,5
11:39:22,400,20.0,5
11:39:23,400,20.0,5
11:39:24,510,20.0,5
11:39:25,540,20.0,5
11:39:26,400,20.0,5
11:39:27,510,20.0,5
11:39:28,510,20.0,5
11:39:29,400,20.0,5
11:39:30,510,20.0,5
11:39:31,540,20.0,5
11:39:32,510,20.0,5
11:39:33,510,20.0,5
11:39:34,510,20.0,5
11:39:35,540,20.0,5
11:39:36,510,20.0,5
11:39:37,400,20.0,5
11:39:38,510,20.0,5
11:39:39,510,20.0,5
